folder,file,indent_depth,force,modulus,hertzfactor,contactpointindex,bestcontactpointrms,contactpointposition,indent_time,x,y,setpoint_N,setpoint_V,sensitivity,springconstant,beadradius,animal,orient,setpoint,speed,condition,stage,x_image,y_image,roi,beta_pyforce,k0_pyforce,k_pyforce,pix_per_m
D:\Niklas\data\TO DO\4_To plot\2024_06_07_#2_stage37.5_WT\files and labfile,force-save-2024.06.07-13.37.18.400.mat,2.86E-06,9.99E-09,361.2179,2.0794,4394,3.08E-19,5.65E-05,0.1585,-0.0004498,0.0030446,1.00E-08,4.183767818,7.24E-08,0.033,1.86E-05,2,,NaN,NaN,WT,37.5,696.9619791,935.6024285,0,0.124884649,358.3637836,293.247334,838186.96
D:\Niklas\data\TO DO\4_To plot\2024_06_07_#2_stage37.5_WT\files and labfile,force-save-2024.06.07-13.37.39.826.mat,4.52E-06,1.00E-08,180.5329,1.0392,7410,1.64E-18,2.60E-05,0.242,-0.0004748,0.0030458,1.00E-08,4.183767818,7.24E-08,0.033,1.86E-05,2,,NaN,NaN,WT,37.5,696.9971491,956.3291538,0,0.109691766,201.8850841,150.954696,838186.96
D:\Niklas\data\TO DO\4_To plot\2024_06_07_#2_stage37.5_WT\files and labfile,force-save-2024.06.07-13.37.53.735.mat,3.74E-06,1.00E-08,243.4194,1.4013,4218,1.11E-18,5.84E-05,0.2025,-0.0004998,0.0030471,1.00E-08,4.183767818,7.24E-08,0.033,1.86E-05,2,,NaN,NaN,WT,37.5,696.9475979,977.0602048,0,0.16245627,283.1727575,227.8280805,838186.96
D:\Niklas\data\TO DO\4_To plot\2024_06_07_#2_stage37.5_WT\files and labfile,force-save-2024.06.07-13.38.14.660.mat,3.86E-06,1.01E-08,231.2311,1.3311,8144,3.92E-18,1.89E-05,0.2085,-0.0005247,0.0030483,1.00E-08,4.183767818,7.24E-08,0.033,1.86E-05,2,,NaN,NaN,WT,37.5,696.9785607,997.7042308,0,0.120062357,263.3316706,208.8303087,838186.96
D:\Niklas\data\TO DO\4_To plot\2024_06_07_#2_stage37.5_WT\files and labfile,force-save-2024.06.07-13.38.30.148.mat,3.76E-06,1.00E-08,239.6509,1.3796,7353,1.04E-18,2.70E-05,0.204,-0.0005497,0.0030495,1.00E-08,4.183767818,7.24E-08,0.033,1.86E-05,2,,NaN,NaN,WT,37.5,697.0137307,1018.430956,0,0.128071239,266.247833,207.533453,838186.96
D:\Niklas\data\TO DO\4_To plot\2024_06_07_#2_stage37.5_WT\files and labfile,force-save-2024.06.07-13.38.45.285.mat,3.69E-06,1.00E-08,244.8578,1.4095,4848,8.22E-19,5.21E-05,0.2,-0.0005747,0.0030508,1.00E-08,4.183767818,7.24E-08,0.033,1.86E-05,2,,NaN,NaN,WT,37.5,696.9641795,1039.162007,0,0.14716642,284.8413596,233.8277929,838186.96
D:\Niklas\data\TO DO\4_To plot\2024_06_07_#2_stage37.5_WT\files and labfile,force-save-2024.06.07-13.39.21.219.mat,4.61E-06,1.01E-08,180.7888,1.0407,8147,1.52E-17,1.85E-05,0.2465,-0.0006246,0.0030533,1.00E-08,4.183767818,7.24E-08,0.033,1.86E-05,2,,NaN,NaN,WT,37.5,696.945591,1080.537084,0,0.126982498,208.6078607,169.0104184,838186.96
D:\Niklas\data\TO DO\4_To plot\2024_06_07_#2_stage37.5_WT\files and labfile,force-save-2024.06.07-13.39.37.201.mat,8.86E-06,1.00E-08,65.5428,0.3773,6212,9.59E-19,3.84E-05,0.4585,-0.0006496,0.0030545,1.00E-08,4.183767818,7.24E-08,0.033,1.86E-05,2,,NaN,NaN,WT,37.5,696.9807611,1101.26381,0,0.161758543,84.28627567,57.17012702,838186.96
D:\Niklas\data\TO DO\4_To plot\2024_06_07_#2_stage37.5_WT\files and labfile,force-save-2024.06.07-13.39.51.782.mat,4.23E-06,9.99E-09,199.0594,1.1459,3922,6.27E-19,6.13E-05,0.227,-0.0006745,0.0030557,1.00E-08,4.183767818,7.24E-08,0.033,1.86E-05,2,,NaN,NaN,WT,37.5,697.0117238,1121.907836,0,0.143480814,232.7492544,196.0270312,838186.96
D:\Niklas\data\TO DO\4_To plot\2024_06_07_#2_stage37.5_WT\files and labfile,force-save-2024.06.07-13.40.05.984.mat,4.63E-06,9.99E-09,174.5806,1.005,3767,5.52E-19,6.29E-05,0.247,-0.0006995,0.003057,1.00E-08,4.183767818,7.24E-08,0.033,1.86E-05,2,,NaN,NaN,WT,37.5,696.9621726,1142.638887,0,0.202229008,194.2973305,170.9069033,838186.96
D:\Niklas\data\TO DO\4_To plot\2024_06_07_#2_stage37.5_WT\files and labfile,force-save-2024.06.07-13.40.19.874.mat,4.12E-06,1.00E-08,206.8425,1.1907,4238,2.75E-19,5.83E-05,0.2215,-0.0007245,0.0030582,1.00E-08,4.183767818,7.24E-08,0.033,1.86E-05,2,,NaN,NaN,WT,37.5,696.9973427,1163.365612,0,0.169471575,233.7558782,198.0585139,838186.96
D:\Niklas\data\TO DO\4_To plot\2024_06_07_#2_stage37.5_WT\files and labfile,force-save-2024.06.07-13.40.34.100.mat,4.78E-06,9.97E-09,165.7448,0.95412,4097,1.55E-18,5.97E-05,0.2545,-0.0008007,0.003037,1.00E-08,4.183767818,7.24E-08,0.033,1.86E-05,2,,NaN,NaN,WT,37.5,718.1642108,1225.465377,0,0.167414465,195.1166514,157.5822475,838186.96
